agente_cultural_id,provincia_id,localidad_id,observaciones,provincia,localidad,nombre,direccion_descripcion,piso,codigo_postal,codigo,telefono,mail,web,latitud,longitud,tipo_latitud_longitud,actividad_especifica,denominacion_especifica,otro_domicilio,fuente,institucion_organizadora,actividades_culturales,mes,como_llegar,anio_de_inicio
100229,6,6238010,,Buenos Aires,Dolores,Fiesta de las Colectividades,Parque Libres Del Sur,,7100,2245,15404911,mario_caceres_84@hotmail.com,,-36.318018,-57.698031,localizacion precisa,Fiesta Popular,,,Mario Marcelo Cáceres,Asociacion Permanente De Las Colectividades Ciudad De Dolores,espectáculos musicales y de danzas sin fines de lucro,noviembre,,2013
100276,6,6238010,,Buenos Aires,Dolores,Fiesta Nacional de la Guitarra,"Polideportivo Municipal Evita, Club Ecuestre La Caballeriza Y Parques Libres Del Sur",,,2245,442432,secretariadecultura@dolores.gov.ar,www.dolores.gov.ar,-36.31866493,-57.67521677,centroide localidad,Festival,,,Gobierno de la Provincia,,música y danzas - concurso/exposiciones - doma / jineteada / rodeo,marzo / abril,,
101021,6,6238010,,Buenos Aires,Dolores,Fiesta regional del camino del gaucho,Campo El Amanecer Ruta 2 Km 204,,,2245,442432,cultura@dolores.gov.ar,www.caminodelgaucho.com.ar,-36.31866493,-57.67521677,centroide localidad,FESTIVAL,,,Gobierno de la Provincia,,doma / jineteada / rodeo - música y danzas - concursos / exposiciones ,noviembre,,
101427,6,6420020,,Buenos Aires,Mar de Ajo - San Bernardo,Ciclo de rock y arena,"Mar De Ajo, S Clemente, San Bernardo Y Sta. Teresita",,,2246,433039,,www.lacosta.gov.ar,-36.72574071,-56.67720956,centroide localidad,FESTIVAL,,,Gobierno de la Provincia,,música y danzas - concursos / exposiciones,enero,,
101428,6,6420020,,Buenos Aires,Mar de Ajo - San Bernardo,Festival folklórico del tuyu,"Mar De Ajo, S Clemente, San Bernardo",,,2246,433039,,www.lacosta.gov.ar,-36.72574071,-56.67720956,centroide localidad,FESTIVAL,,,Gobierno de la Provincia,,música y danzas - concursos / exposiciones,,,
102280,6,6420030,,Buenos Aires,San Clemente del Tuyu,Fiesta Nacional de la Corvina Negra,Plaza Los Gauchos Del Sur. ,,,2246,433039,fiestadelacorvina@yahoo.com.ar,,-36.35556004,-56.723991,centroide localidad,Festival,,,Gobierno de la Provincia,,"pesca, ganadería, agricultura, jardinería - religión o creencias populares - música y danzas",octubre,,
102600,6,6420020,,Buenos Aires,Mar de Ajo - San Bernardo,Fiesta Nacional del Sol y la Familia,,,,2246,433039,,,-36.72574071,-56.67720956,centroide localidad,Festival,,,Gobierno de la Provincia,,"música y danzas - gastronomía (frutos, comidas, bebidas, etc.)",diciembre,,
102614,6,6420030,,Buenos Aires,San Clemente del Tuyu,Encuentro Santosvegano de Payadores,Plaza Pereira. ,,,2246,433039,,,-36.35556004,-56.723991,centroide localidad,Festival,,,Gobierno de la Provincia,,música y danzas,febrero,,
102909,6,6420020,,Buenos Aires,Mar de Ajo - San Bernardo,Fiesta Nacional de la Corvina Rubia,Parque General Lavalle. ,,,2246,433039,fncorvinarubia6@yahoo.com.ar,www.fncorvinarubia.com.ar ,-36.72574071,-56.67720956,centroide localidad,Festival,,,Gobierno de la Provincia,,"pesca, ganadería, agricultura, jardinería - música y danzas",noviembre,,
101111,6,6336020,,Buenos Aires,General Lavalle,Fiesta de Los Pescadores,General Lavalle,,,2252,491006,direccioncultura@yahoo.com.ar,www.lavalle.mun.gba.gov.ar,-36.4004517,-56.9668617,localizacion precisa,FESTIVAL,,,Gobierno de la Provincia,,concursos / exposiciones,junio,,
101569,6,6644010,,Buenos Aires,Pinamar,Aniversario del Municipio,,,,2254,491677,cultura@pinamar.gov.ar,www.pinamar.gov.ar,-37.10600762,-56.84842261,centroide localidad,Fiesta Popular,,,Gobierno de la Provincia,,,enero,,
101571,6,6644010,,Buenos Aires,Pinamar,Jazz en el bosque,Pinamar,,,2254,491677,cultura@pinamar.gov.ar,www.jazzenelbosque.com   ,-37.10600762,-56.84842261,centroide localidad,FESTIVAL,,,Gobierno de la Provincia,,música y danzas,enero,,
101572,6,6644010,,Buenos Aires,Pinamar,Pina rock festival,Pinamar,,,2254,491677,cultura@pinamar.gov.ar,www.pinamar.gov.ar,-37.10600762,-56.84842261,centroide localidad,,,,Gobierno de la Provincia,,,septiembre,,
101573,6,6644010,,Buenos Aires,Pinamar,Mes de la Música,Pinamar,,,2254,491677,cultura@pinamar.gov.ar,,-37.10600762,-56.84842261,centroide localidad,,,,Gobierno de la Provincia,,,noviembre,,
100210,6,6868020,,Buenos Aires,Villa Gesell,Aniversario de la Fundación de Villa Gesell. Inauguración de la Temporada de Verano,,,,2255,478037,cultura@gesell.com.ar ,www.gesell.gov.ar,-37.24850668,-56.97155338,centroide localidad,Fiesta Popular,,,Gobierno de la Provincia,,acto cívico,diciembre,,
